team,season,head_coach,offensive_coordinator,play_caller,hc_calls_plays,in_house,notes
IND,2026,Shane Steichen,Jim Cooter,Shane Steichen,1,1,"Shane Steichen continues calling plays with Jim Cooter as offensive coordinator, maintaining offensive continuity."
JAX,2026,Liam Coen,Grant Udinski,Liam Coen,1,1,Liam Coen enters year 2 with Grant Udinski also entering year 2 as OC. Coen continues calling his McVay-influenced offensive system.
KC,2026,Andy Reid,Eric Bieniemy,Andy Reid,1,1,"Eric Bieniemy returns as offensive coordinator after Matt Nagy's departure, reuniting with Andy Reid, who continues calling the offense."
LAC,2026,Jim Harbaugh,Mike McDaniel,Mike McDaniel,0,0,"Greg Roman departs. Mike McDaniel becomes offensive coordinator and play-caller, replacing power-run concepts with Shanahan-style motion and outside-zone principles."
LAR,2026,Sean McVay,Nathan Scheelhaase,Sean McVay,1,1,Nathan Scheelhaase replaces Mike LaFleur as offensive coordinator. Sean McVay continues play-calling with minimal expected schematic changes.
LV,2026,Klint Kubiak,Andrew Janocko ,Klint Kubiak,1,0,"Klint Kubiak replaces Pete Carroll as head coach, installing his wide-zone offense. Andrew Janocko joins from Minnesota as offensive coordinator."
MIA,2026,Jeff Hafley,Bobby Slowik,Bobby Slowik,0,1,Mike McDaniel leaves for Los Angeles. Jeff Hafley becomes head coach while Bobby Slowik gets promoted to OC and installs a Texans-style offense and calls plays.
MIN,2026,Kevin O'Connell,Wes Phillips,Kevin O'Connell,1,1,Full continuity. Kevin O'Connell remains head coach and play-caller with Wes Phillips returning as offensive coordinator.
NE,2026,Mike Vrabel,Josh McDaniels,Josh McDaniels,0,1,"Mike Vrabel returns as head coach for year 2. Josh McDaniels returns as offensive coordinator and play-caller, restoring New England's longtime offensive architecture."
NO,2026,Kellen Moore,Doug Nussmeier,Kellen Moore,1,1,"Kellen Moore replaced Dennis Allen last year, bringing his Eagles-influenced offense. Doug Nussmeier enters year 2 as coordinator while Moore retains play-calling."
NYG,2026,John Harbaugh,Matt Nagy,Matt Nagy,0,0,"John Harbaugh replaces Brian Daboll. Matt Nagy becomes offensive coordinator and play-caller, introducing a substantially different offensive approach."
NYJ,2026,Aaron Glenn,Frank Reich,Frank Reich,0,0,Aaron Glenn returns for year 2. Veteran Frank Reich assumes offensive coordinator and play-calling duties to stabilize New York's offense.
PHI,2026,Nick Sirianni,Sean Mannion ,Sean Mannion ,0,1,Kevin Patullo departs. Sean Mannion becomes offensive coordinator through internal promotion and first-time NFL play-caller while Nick Sirianni remains hands-off offensively.
PIT,2026,Mike McCarthy,Brian Angelichio,Mike McCarthy,1,0,"Mike McCarthy replaces Mike Tomlin as head coach, bringing his West Coast roots and reclaiming offensive play-calling responsibilities."
SEA,2026,Mike Macdonald,Brian Fleury,Brian Fleury,0,0,Klint Kubiak departs. Brian Fleury becomes offensive coordinator and play-caller while Mike Macdonald preserves overall organizational continuity.
SF,2026,Kyle Shanahan,Klay Kubiak,Kyle Shanahan,1,1,"Kyle Shanahan continues calling plays. Klay Kubiak remains offensive coordinator, preserving one of the league's most stable offensive infrastructures."
TB,2026,Todd Bowles,Zac Robinson,Zac Robinson,0,0,"Zac Robinson arrives from Atlanta as offensive coordinator with play-calling duties, creating a new Tampa Bay offensive identity and reuniting with Baker Mayfield."
TEN,2026,Robert Saleh,Brian Daboll,Brian Daboll,0,0,"Robert Saleh replaces Brian Callahan as head coach. Brian Daboll arrives as offensive coordinator and play-caller, completely overhauling Tennessee's offense."
WAS,2026,Dan Quinn,David Blough,David Blough,0,1,Kliff Kingsbury departs. David Blough becomes offensive coordinator through internal promotion and first-time NFL play-caller while Dan Quinn maintains overall program continuity.
